,Date,Steps,AD_Month,AH_Month,Long_Vacation,Short_Vacation,Ramadan,Sch_Eid_Fatr,National_Day,National_Day_Ext,AD_WeekdayNum,Woke_Hour,temp_min,temp_max,is_rain
0,2018-06-02,3140,6,9,1,0,1,0,0,0,5,18,86,111,0
1,2018-06-03,9810,6,9,1,0,1,0,0,0,6,20,88,113,0
2,2018-06-04,6551,6,9,1,0,1,0,0,0,0,6,90,111,0
3,2018-06-05,6107,6,9,1,0,1,0,0,0,1,6,88,113,0
4,2018-06-06,2569,6,9,1,0,1,0,0,0,2,6,86,113,0
5,2018-06-07,2283,6,9,1,0,1,0,0,0,3,8,84,113,0
6,2018-06-08,743,6,9,1,0,1,0,0,0,4,12,0,113,0
7,2018-06-09,1756,6,9,1,0,1,0,0,0,5,12,84,117,0
8,2018-06-10,3811,6,9,1,0,1,0,0,0,6,6,93,111,0
9,2018-06-11,2202,6,9,1,0,1,0,0,0,0,6,82,109,0
10,2018-06-12,11535,6,9,1,0,1,0,0,0,1,12,81,109,0
11,2018-06-13,10248,6,9,1,0,1,0,0,0,2,10,84,106,0
12,2018-06-14,10022,6,9,1,0,1,0,0,0,3,10,81,104,0
13,2018-06-15,12542,6,10,1,0,0,0,0,0,4,9,81,106,0
14,2018-06-16,12083,6,10,1,0,0,0,0,0,5,9,81,108,0
15,2018-06-17,13090,6,10,1,0,0,0,0,0,6,11,81,106,0
16,2018-06-18,15417,6,10,1,0,0,0,0,0,0,7,84,108,0
17,2018-06-19,14337,6,10,1,0,0,0,0,0,1,8,82,109,0
18,2018-06-20,11490,6,10,1,0,0,0,0,0,2,8,82,109,0
19,2018-06-21,8302,6,10,1,0,0,0,0,0,3,15,86,108,0
20,2018-06-22,9123,6,10,1,0,0,0,0,0,4,10,82,108,0
21,2018-06-23,11375,6,10,1,0,0,0,0,0,5,12,81,106,0
22,2018-06-24,4106,6,10,1,0,0,0,0,0,6,20,81,106,0
23,2018-06-25,3855,6,10,1,0,0,0,0,0,0,2,79,106,0
24,2018-06-26,4074,6,10,1,0,0,0,0,0,1,21,82,108,0
25,2018-06-27,4845,6,10,1,0,0,0,0,0,2,1,88,108,0
26,2018-06-28,972,6,10,1,0,0,0,0,0,3,7,86,111,0
27,2018-06-29,884,6,10,1,0,0,0,0,0,4,12,84,111,0
28,2018-06-30,1494,6,10,1,0,0,0,0,0,5,6,86,108,0
29,2018-07-01,5334,7,10,1,0,0,0,0,0,6,3,82,108,0
30,2018-07-02,4054,7,10,1,0,0,0,0,0,0,3,81,109,0
31,2018-07-03,3585,7,10,1,0,0,0,0,0,1,3,88,111,0
32,2018-07-04,2520,7,10,1,0,0,0,0,0,2,4,88,113,0
33,2018-07-05,2737,7,10,1,0,0,0,0,0,3,3,90,113,0
34,2018-07-06,1874,7,10,1,0,0,0,0,0,4,2,84,113,0
35,2018-07-07,831,7,10,1,0,0,0,0,0,5,10,84,111,0
36,2018-07-08,3664,7,10,1,0,0,0,0,0,6,3,84,111,0
37,2018-07-09,2411,7,10,1,0,0,0,0,0,0,17,86,113,0
38,2018-07-10,3377,7,10,1,0,0,0,0,0,1,4,82,113,0
39,2018-07-11,3986,7,10,1,0,0,0,0,0,2,22,0,111,0
40,2018-07-12,3561,7,10,1,0,0,0,0,0,3,0,0,115,0
41,2018-07-13,548,7,10,1,0,0,0,0,0,4,10,88,113,0
42,2018-07-14,487,7,11,1,0,0,0,0,0,5,10,88,111,0
43,2018-07-15,4390,7,11,1,0,0,0,0,0,6,3,88,113,0
44,2018-07-16,2940,7,11,1,0,0,0,0,0,0,3,88,111,0
45,2018-07-17,1939,7,11,1,0,0,0,0,0,1,3,82,109,0
46,2018-07-18,4002,7,11,1,0,0,0,0,0,2,3,84,106,0
47,2018-07-19,5806,7,11,1,0,0,0,0,0,3,4,82,106,0
48,2018-07-20,8673,7,11,1,0,0,0,0,0,4,3,84,108,0
49,2018-07-21,9103,7,11,1,0,0,0,0,0,5,10,84,108,0
50,2018-07-22,9801,7,11,1,0,0,0,0,0,6,12,82,109,0
51,2018-07-23,9498,7,11,1,0,0,0,0,0,0,5,82,108,0
52,2018-07-24,8626,7,11,1,0,0,0,0,0,1,5,84,108,0
53,2018-07-25,7649,7,11,1,0,0,0,0,0,2,6,82,108,0
54,2018-07-26,8753,7,11,1,0,0,0,0,0,3,6,84,108,0
55,2018-07-27,11581,7,11,1,0,0,0,0,0,4,22,91,108,0
56,2018-07-28,9131,7,11,1,0,0,0,0,0,5,19,90,109,0
57,2018-07-29,13093,7,11,1,0,0,0,0,0,6,13,84,109,0
58,2018-07-30,12048,7,11,1,0,0,0,0,0,0,6,95,109,0
59,2018-07-31,8893,7,11,1,0,0,0,0,0,1,6,84,111,0
60,2018-08-01,14233,8,11,1,0,0,0,0,0,2,21,84,109,0
61,2018-08-02,6212,8,11,1,0,0,0,0,0,3,6,82,108,0
62,2018-08-03,12377,8,11,1,0,0,0,0,0,4,19,81,108,0
63,2018-08-04,11094,8,11,1,0,0,0,0,0,5,13,84,108,0
64,2018-08-05,17097,8,11,1,0,0,0,0,0,6,4,88,113,0
65,2018-08-06,7407,8,11,1,0,0,0,0,0,0,6,88,109,0
66,2018-08-07,9725,8,11,1,0,0,0,0,0,1,21,86,109,0
67,2018-08-08,7163,8,11,1,0,0,0,0,0,2,20,88,109,0
68,2018-08-09,9955,8,11,1,0,0,0,0,0,3,3,86,108,0
69,2018-08-10,6159,8,11,1,0,0,0,0,0,4,4,86,108,0
70,2018-08-11,17113,8,11,1,0,0,0,0,0,5,9,82,108,0
71,2018-08-12,8379,8,12,1,0,0,0,0,0,6,7,79,109,0
72,2018-08-13,15205,8,12,1,0,0,0,0,0,0,9,81,108,0
73,2018-08-14,16943,8,12,1,0,0,0,0,0,1,5,81,106,0
74,2018-08-15,14857,8,12,1,0,0,0,0,0,2,6,81,108,0
75,2018-08-16,10905,8,12,1,0,0,0,0,0,3,6,79,108,0
76,2018-08-17,9403,8,12,1,0,0,0,0,0,4,7,79,109,0
77,2018-08-18,14309,8,12,1,0,0,0,0,0,5,11,81,109,0
78,2018-08-19,19720,8,12,1,0,0,0,0,0,6,12,81,109,0
79,2018-08-20,9476,8,12,1,0,0,0,0,0,0,13,75,109,0
80,2018-08-21,9801,8,12,1,0,0,0,0,0,1,15,81,108,0
81,2018-08-22,11154,8,12,1,0,0,0,0,0,2,15,82,109,0
82,2018-08-23,11154,8,12,1,0,0,0,0,0,3,18,82,108,0
83,2018-08-24,210,8,12,1,0,0,0,0,0,4,14,81,109,0
84,2018-08-25,2992,8,12,1,0,0,0,0,0,5,22,82,111,0
85,2018-08-26,3062,8,12,1,0,0,0,0,0,6,20,82,111,0
86,2018-08-27,3817,8,12,1,0,0,0,0,0,0,3,90,90,0
87,2018-08-28,2810,8,12,1,0,0,0,0,0,1,22,82,109,0
88,2018-08-29,4164,8,12,1,0,0,0,0,0,2,3,82,108,0
89,2018-08-30,3033,8,12,1,0,0,0,0,0,3,2,82,106,0
90,2018-08-31,701,8,12,1,0,0,0,0,0,4,5,84,109,0
91,2018-09-01,856,9,12,1,0,0,0,0,0,5,3,82,111,0
92,2018-09-02,3503,9,12,0,0,0,0,0,0,6,2,82,109,0
93,2018-09-03,3085,9,12,0,0,0,0,0,0,0,1,81,111,0
94,2018-09-04,2767,9,12,0,0,0,0,0,0,1,3,82,113,0
95,2018-09-05,2416,9,12,0,0,0,0,0,0,2,3,86,113,0
96,2018-09-06,5885,9,12,0,0,0,0,0,0,3,4,84,109,0
97,2018-09-07,3618,9,12,0,0,0,0,0,0,4,1,81,106,0
98,2018-09-08,1273,9,12,0,0,0,0,0,0,5,15,81,109,0
99,2018-09-09,5311,9,12,0,0,0,0,0,0,6,4,79,108,0
100,2018-09-10,4114,9,12,0,0,0,0,0,0,0,3,82,108,0
101,2018-09-11,2912,9,1,0,0,0,0,0,0,1,3,84,106,0
102,2018-09-12,5333,9,1,0,0,0,0,0,0,2,0,81,106,0
103,2018-09-13,3095,9,1,0,0,0,0,0,0,3,23,81,109,0
104,2018-09-14,612,9,1,0,0,0,0,0,0,4,5,82,111,0
105,2018-09-15,1105,9,1,0,0,0,0,0,0,5,10,82,111,0
106,2018-09-16,5051,9,1,0,0,0,0,0,0,6,2,81,106,0
107,2018-09-17,3582,9,1,0,0,0,0,0,0,0,3,81,108,0
108,2018-09-18,2366,9,1,0,0,0,0,0,0,1,6,81,108,0
109,2018-09-19,3955,9,1,0,0,0,0,0,1,2,3,77,106,0
110,2018-09-20,3840,9,1,0,0,0,0,0,1,3,23,81,108,0
111,2018-09-21,906,9,1,0,0,0,0,0,1,4,6,79,106,0
112,2018-09-22,292,9,1,0,0,0,0,1,1,5,9,81,106,0
113,2018-09-23,791,9,1,0,0,0,0,0,1,6,8,79,106,0
114,2018-09-24,3382,9,1,0,0,0,0,0,1,0,8,77,106,0
115,2018-09-25,4119,9,1,0,0,0,0,0,1,1,18,79,106,0
116,2018-09-26,3484,9,1,0,0,0,0,0,0,2,2,79,106,0
117,2018-09-27,3868,9,1,0,0,0,0,0,0,3,21,79,102,0
118,2018-09-28,432,9,1,0,0,0,0,0,0,4,5,73,102,0
119,2018-09-29,7855,9,1,0,0,0,0,0,0,5,8,75,106,0
120,2018-09-30,4415,9,1,0,0,0,0,0,0,6,3,73,100,0
121,2018-10-01,10690,10,1,0,0,0,0,0,0,0,23,73,99,0
122,2018-10-02,2543,10,1,0,0,0,0,0,0,1,6,75,99,0
123,2018-10-03,4255,10,1,0,0,0,0,0,0,2,4,72,99,0
124,2018-10-04,23,10,1,0,0,0,0,0,0,3,4,70,102,0
125,2018-10-05,1055,10,1,0,0,0,0,0,0,4,14,73,100,0
126,2018-10-06,9083,10,1,0,0,0,0,0,0,5,8,72,102,0
127,2018-10-07,4312,10,1,0,0,0,0,0,0,6,3,73,102,0
128,2018-10-08,3875,10,1,0,0,0,0,0,0,0,4,77,97,0
129,2018-10-09,2084,10,1,0,0,0,0,0,0,1,4,68,99,0
130,2018-10-10,4030,10,2,0,0,0,0,0,0,2,2,70,102,0
131,2018-10-11,2536,10,2,0,0,0,0,0,0,3,3,72,100,0
132,2018-10-12,899,10,2,0,0,0,0,0,0,4,9,70,97,0
133,2018-10-13,586,10,2,0,0,0,0,0,0,5,6,73,99,0
134,2018-10-14,3464,10,2,0,0,0,0,0,0,6,3,70,95,0
