,Desc,Hijri,Meladi
0,بداية الدراسة للطلاب للفصل الدراسي الأول,11/01/1442,29/08/2020
1,إجازة اليوم الوطني,06/02/1442,23/09/2020
2,بداية اختبار الفصل الدراسي الأول,05/05/1442,20/12/2020
3,بداية إجازة منتصف العام,16/05/1442,31/12/2020
4,بداية الدراسة للفصل الدراسي الثاني,04/06/1442,17/01/2021
5,بداية إجازة عيد الفطر,17/09/1442,28/04/2021
6,بداية الدراسة بعد إجازة عيد الفطر,06/10/1442,17/05/2021
7,بداية اختبار الفصل الدراسي الثاني,11/10/1442,22/05/2021
8,بداية إجازة نهاية العام,22/10/1442,02/06/2021
9,بداية الدراسة للطلاب للفصل الدراسي الأول,11/01/1442,29/08/2020
10,إجازة اليوم الوطني,06/02/1442,23/09/2020
11,بداية اختبار الفصل الدراسي الأول,05/05/1442,20/12/2020
12,بداية إجازة منتصف العام,16/05/1442,31/12/2020
13,بداية الدراسة للفصل الدراسي الثاني,04/06/1442,17/01/2021
14,بداية إجازة عيد الفطر,17/09/1442,28/04/2021
15,بداية الدراسة بعد إجازة عيد الفطر,06/10/1442,17/05/2021
16,بداية اختبار الفصل الدراسي الثاني,11/10/1442,22/05/2021
17,بداية إجازة نهاية العام,22/10/1442,02/06/2021
18,بداية الدراسة للطلاب للفصل الدراسي الأول,11/01/1442,29/08/2020
19,إجازة اليوم الوطني,06/02/1442,23/09/2020
20,بداية اختبار الفصل الدراسي الأول,05/05/1442,20/12/2020
21,بداية إجازة منتصف العام,16/05/1442,31/12/2020
22,بداية الدراسة للفصل الدراسي الثاني,04/06/1442,17/01/2021
23,بداية إجازة عيد الفطر,17/09/1442,28/04/2021
24,بداية الدراسة بعد إجازة عيد الفطر,06/10/1442,17/05/2021
25,بداية اختبار الفصل الدراسي الثاني,11/10/1442,22/05/2021
26,بداية إجازة نهاية العام,22/10/1442,02/06/2021
27,بداية الدراسة للطلاب للفصل الدراسي الأول,11/01/1442,29/08/2020
28,إجازة اليوم الوطني,06/02/1442,23/09/2020
29,بداية اختبار الفصل الدراسي الأول,05/05/1442,20/12/2020
30,بداية إجازة منتصف العام,16/05/1442,31/12/2020
31,بداية الدراسة للفصل الدراسي الثاني,04/06/1442,17/01/2021
32,بداية إجازة عيد الفطر,17/09/1442,28/04/2021
33,بداية الدراسة بعد إجازة عيد الفطر,06/10/1442,17/05/2021
34,بداية اختبار الفصل الدراسي الثاني,11/10/1442,22/05/2021
35,بداية إجازة نهاية العام,22/10/1442,02/06/2021
36,بداية الدراسة للطلاب للفصل الدراسي الأول,11/01/1442,29/08/2020
37,إجازة اليوم الوطني,06/02/1442,23/09/2020
