,Date,Slept_On,WokeUp_On,Duration,Woke_Hour
1206,2018-06-02,,2018-06-02 18:01:04,1.0,18
1205,2018-06-03,,2018-06-03 20:56:49,9.0,20
1204,2018-06-04,,2018-06-04 06:05:41,4.0,6
1203,2018-06-05,,2018-06-05 06:16:49,7.0,6
1202,2018-06-06,,2018-06-06 06:19:35,5.0,6
1201,2018-06-07,,2018-06-07 08:18:16,6.0,8
1200,2018-06-08,,2018-06-08 12:03:21,12.0,12
1199,2018-06-09,,2018-06-09 12:05:53,11.0,12
1198,2018-06-10,,2018-06-10 06:23:36,5.0,6
1197,2018-06-11,,2018-06-11 06:40:25,6.0,6
1196,2018-06-12,,2018-06-12 12:24:07,5.0,12
1195,2018-06-13,,2018-06-13 10:34:22,12.0,10
1194,2018-06-14,,2018-06-14 10:46:58,11.0,10
1193,2018-06-15,,2018-06-15 09:54:50,11.0,9
1192,2018-06-16,,2018-06-16 09:04:54,4.0,9
1191,2018-06-17,,2018-06-17 11:15:18,10.0,11
1190,2018-06-18,,2018-06-18 07:44:50,9.0,7
1189,2018-06-19,,2018-06-19 08:59:46,10.0,8
1188,2018-06-20,,2018-06-20 08:43:43,10.0,8
1187,2018-06-21,,2018-06-21 15:12:56,4.0,15
1186,2018-06-22,,2018-06-22 10:14:36,14.0,10
1185,2018-06-23,,2018-06-23 12:55:51,12.0,12
1184,2018-06-24,,2018-06-24 20:14:40,7.0,20
1183,2018-06-25,,2018-06-25 02:26:47,2.0,2
1182,2018-06-26,,2018-06-25 21:44:21,8.0,21
1181,2018-06-27,,2018-06-27 01:02:04,11.0,1
1180,2018-06-28,,2018-06-28 07:52:44,14.0,7
1179,2018-06-29,,2018-06-29 12:44:02,6.0,12
1178,2018-06-30,,2018-06-30 06:45:01,6.0,6
1177,2018-07-01,,2018-07-01 03:30:42,7.0,3
1176,2018-07-02,,2018-07-02 03:28:12,7.0,3
1175,2018-07-03,,2018-07-03 03:57:31,7.0,3
1174,2018-07-04,,2018-07-04 04:03:42,7.0,4
1173,2018-07-05,,2018-07-05 03:39:18,7.0,3
1172,2018-07-06,,2018-07-06 02:29:44,6.0,2
1171,2018-07-07,,2018-07-07 10:28:34,16.0,10
1170,2018-07-08,,2018-07-08 03:21:56,9.0,3
1169,2018-07-09,,2018-07-09 17:44:23,5.0,17
1168,2018-07-10,,2018-07-10 04:12:29,5.0,4
1167,2018-07-11,,2018-07-10 22:22:33,8.0,22
1166,2018-07-12,,2018-07-12 00:58:51,8.0,0
1165,2018-07-13,,2018-07-13 10:22:54,14.0,10
1164,2018-07-14,,2018-07-14 10:25:37,16.0,10
1163,2018-07-15,,2018-07-15 03:14:36,6.0,3
1162,2018-07-16,,2018-07-16 03:41:25,8.0,3
1161,2018-07-17,,2018-07-17 03:08:01,7.0,3
